prompt,completion
soul groove dark hybrid ->," None
0:a
None
None
0:k,4:s,9:k
12:s,26:k,28:s ###"
soul groove big room layered ->," None
0:h
None
4:s
0:k,9:k
26:k ###"
funk purdieshuffle acoustic ->," None
None
None
None
None
0:k,1:l,1:k,3:s,4:s,5:h,5:h,6:s,7:h,7:k,9:s,9:k,11:h,13:k,14:s,15:h,15:k,15:s ###"
funk purdieshuffle dark hybrid ->," None
None
None
None
None
0:k,1:k,1:a,3:s,4:s,5:a,6:s,7:k,7:a,9:s,9:a,11:a,13:a,14:s,15:a,15:k,15:s ###"
funk purdieshuffle deep daft ->," None
None
None
None
None
0:k,1:k,1:a,3:s,4:s,5:h,5:h,6:s,7:h,7:k,9:s,9:k,11:h,13:k,14:s,15:h,15:k,15:s ###"
latin samba acoustic ->," None
None
None
None
None
0:r,0:k,0:z,1:r,2:r,2:h,2:k,3:z,4:r,4:k,4:z,5:r,6:r,6:h,7:k,7:z,8:r,8:k,8:z,9:r,10:r,10:h,11:k,11:z,12:r,12:k,13:r,14:r,14:h,15:k,15:z ###"
latin samba dark hybrid ->," None
None
None
None
None
0:r,0:k,0:z,1:r,2:r,2:k,2:a,3:z,4:r,4:k,4:z,5:r,6:r,6:a,7:k,7:z,8:r,8:k,8:z,9:r,10:r,10:a,11:k,11:z,12:r,12:k,13:r,14:r,14:a,15:k,15:z ###"
latin samba 808 simple ->," None
None
None
None
None
0:s,0:r,0:k,1:r,2:r,2:h,2:k,3:s,4:s,4:r,4:k,5:r,6:r,6:h,7:s,7:k,8:s,8:r,8:k,9:r,10:r,10:h,11:s,11:k,12:r,12:k,13:r,14:r,14:h,15:s,15:k ###"
jazz funk acoustic ->," None
None
None
None
None
0:r,0:k,0:y,2:r,2:h,3:k,4:r,4:s,5:s,6:r,6:h,7:r,7:s,8:r,9:s,10:r,10:h,10:s,10:k,11:r,11:k,12:r,12:z,13:s,14:r,14:h,15:r,15:s ###"
jazz funk dark hybrid ->," None
None
None
None
None
0:r,0:k,0:y,2:r,2:a,3:k,4:r,4:s,5:s,6:r,6:a,7:r,7:s,8:r,9:s,10:s,10:r,10:k,10:a,11:r,11:k,12:r,12:z,13:s,14:r,14:a,15:r,15:s ###"
jazz funk big room layered ->," None
None
None
None
2:h
0:k,4:r,4:k,4:y,6:r,6:h,7:k,8:r,8:s,9:s,10:r,10:h,11:r,11:s,12:r,13:s,14:r,14:h,14:s,14:k,15:r,15:k,16:r,16:z,17:s,18:r,19:r,19:s ###"
jazz funk 808 simple ->," None
None
None
None
None
0:r,0:k,0:y,2:r,2:h,3:k,4:r,4:s,5:s,6:r,6:h,7:r,7:s,8:r,9:s,10:r,10:h,10:s,10:k,11:r,11:k,12:s,12:r,13:s,14:r,14:h,15:r,15:s ###"
rock prog acoustic ->," None
None
None
None
None
0:k,0:k,2:h,3:h,5:k,6:k,8:s,9:h,11:h,12:k,14:k,15:h,15:k ###"
rock prog dark hybrid ->," None
None
None
None
None
0:k,0:a,2:a,3:a,5:a,6:k,8:s,9:a,11:a,12:a,14:a,15:k,15:a ###"
punk acoustic ->," None
None
2:k
0:k,4:h
0:s,2:s,5:k,8:h,12:k,12:s,14:z
0:k,6:z,10:z,16:h,20:s,22:s,24:s,26:s ###"
punk dark hybrid ->," None
0:a
None
0:k
0:s,2:s,5:k,12:k,12:s,14:z
6:z,10:z,20:s,22:s,24:s,26:s ###"
punk 808 simple ->," None
None
2:k
0:k,4:h
0:s,2:s,5:k,8:h,10:s,12:k,12:s,14:s
0:k,6:s,16:h,20:s,22:s,24:s ###"
rock acoustic ->," None
None
None
None
0:r,0:k,2:r,2:s,4:r,4:k
6:r,6:k,8:r,10:r,10:s,12:r,14:r ###"
rock acoustic ->," None
None
None
None
8:h
16:h,20:h,28:s,30:h ###"
rock dark hybrid ->," None
None
None
None
8:a
16:a,20:a,28:s,30:a ###"
rock acoustic ->," None
None
None
None
0:k,1:s,2:s,3:s,5:s,6:s,8:t,9:t,11:x,12:x
None ###"
jazz acoustic ->," None
None
2:s
0:s,1:s
3:s,12:s,15:s
5:s,7:s,20:s,22:s,27:s,29:s ###"
rock acoustic ->," None
None
None
None
0:k,0:y,2:z,3:k,3:y,5:s,6:y,7:k,9:s,10:k,10:y,12:s
None ###"
rock 808 simple ->," None
None
None
None
0:k,0:y,2:s,3:k,3:y,5:s,6:y,7:k,9:s,10:k,10:y,12:s
None ###"
rock acoustic ->," None
None
None
None
None
0:k,12:h,12:k,13:h,14:h,15:k,16:h,16:s,18:h,20:h,20:k,22:h,24:s,24:k,26:h ###"
rock dark hybrid ->," None
None
None
None
None
0:k,12:k,12:a,13:a,14:a,15:k,16:a,16:s,18:a,20:k,20:a,22:a,24:a,24:s,26:a ###"
rock acoustic ->," None
0:r
None
4:s
0:k,7:s,9:s,10:k,11:k
14:k ###"
rock acoustic ->," None
0:r
0:k,2:s
3:s
None
None ###"
funk groove acoustic ->," None
0:r
0:h
2:k,4:s,7:s
0:k,9:s,11:k
3:k,17:s ###"
funk groove dark hybrid ->," None
0:r
0:a
2:k,4:s,7:s
0:k,9:s,11:k
3:k,17:s ###"
soul groove acoustic ->," None
None
None
4:s
0:k,1:s,2:s,4:k,6:k,8:k,10:k,15:k
2:k,6:s,8:s,9:s,10:h,10:s,12:l,14:h,16:l,18:h,26:k,28:k,29:s,30:k,31:s ###"
soul groove dark hybrid ->," None
None
2:a
4:s,4:a
0:k,1:s,2:s,8:a,10:k,15:k
6:s,8:s,9:s,10:s,16:a,29:s,31:s ###"
soul groove deep daft ->," None
None
None
4:s
0:k,1:s,2:s,4:k,6:k,8:k,10:k,15:k
2:k,6:s,8:s,9:s,10:h,10:s,12:a,14:h,16:a,18:h,26:k,28:k,29:s,30:k,31:s ###"
funk groove acoustic ->," None
None
None
0:k,2:s,2:k
0:k,4:s,6:k,7:k,8:s,9:k,10:k
2:s,4:k,12:s,12:k,14:k,16:s,17:s,20:l,24:s,26:s,28:l,28:s,30:h,30:h,31:s ###"
funk groove dark hybrid ->," None
0:a
None
2:s
0:k,4:s,7:k,8:s,9:k,10:k
2:s,12:s,16:s,17:s,24:s,26:s,28:s,30:a,31:s ###"
funk groove big room layered ->," None
None
None
0:k,2:s,2:k,4:s
0:k,6:k,7:k,8:s,9:k,10:k
2:s,4:k,12:k,14:k,16:s,17:s,20:l,24:s,26:s,28:l,30:h,30:h,31:s ###"
funk groove deep daft ->," None
None
None
0:k,2:s,2:k
0:k,4:s,6:k,7:k,8:s,9:k,10:k
2:s,4:k,12:s,12:k,14:k,16:s,17:s,20:a,24:s,26:s,28:s,28:a,30:h,30:h,31:s ###"
soul groove acoustic ->," None
None
1:k,2:k
3:k,4:k,7:k
0:k,0:k,3:k,7:k,9:k,10:k,12:s,13:k
2:s,4:s,8:k,10:s,11:s,15:h,17:s,20:z,24:l,26:k,30:s,31:k ###"
soul groove dark hybrid ->," 0:a
None
None
7:k
0:k,3:k,9:k,10:k,12:s,13:k
2:s,4:s,10:s,11:s,17:s,20:z,26:k,30:s ###"
soul groove 808 simple ->," None
None
1:k,2:k
3:k,4:k,7:k
0:k,0:k,3:k,7:k,9:k,10:k,12:s,13:k
2:s,4:s,8:k,10:s,11:s,15:h,17:s,20:s,24:l,26:k,30:s,31:k ###"
soul groove deep daft ->," None
None
1:k,2:k
3:k,4:k,7:k
0:k,0:k,3:k,7:k,9:k,10:k,12:s,13:k
2:s,4:s,8:k,10:s,11:s,15:h,17:s,20:z,24:a,26:k,30:s,31:k ###"
soul groove acoustic ->," None
None
None
0:k,2:k
6:k,7:k,9:k,15:l
4:s,10:s,12:s,14:l,16:h,20:z,28:s,30:k ###"
soul groove dark hybrid ->," None
None
2:a
0:k,7:a
9:a
4:s,10:s,12:s,16:a,20:z,28:s ###"
soul groove big room layered ->," None
None
None
0:k,2:k
6:k,7:k,9:k,12:s,15:l
4:s,10:s,14:l,16:h,20:z,30:k ###"
soul groove 808 simple ->," None
None
None
0:k,2:k
4:s,6:k,7:k,9:k,15:l
10:s,12:s,14:l,16:h,28:s,30:k ###"
soul groove deep daft ->," None
None
None
0:k,2:k
6:k,7:k,9:k,15:a
4:s,10:s,12:s,14:a,16:h,20:z,28:s,30:k ###"
funk groove acoustic ->," None
None
None
None
None
0:h,0:k,0:k,1:s,1:k,2:k,3:h,3:k,4:s,4:s,4:k,5:k,6:k,7:l,7:k,8:l,9:k,10:k,10:k,11:k,12:s,12:l,12:h,12:s,13:k,13:k,14:k,15:k ###"
funk groove dark hybrid ->," None
None
None
None
None
0:k,0:a,1:s,1:a,2:a,3:k,3:a,4:s,4:s,4:a,5:a,6:a,7:k,7:a,8:a,9:a,10:k,10:a,11:a,12:s,12:s,12:a,13:k,13:a,14:a,15:a ###"
funk groove big room layered ->," None
None
None
None
None
0:h,0:k,0:k,1:s,1:k,2:k,3:h,3:k,4:s,4:k,5:k,6:k,7:l,7:k,8:l,9:k,10:k,10:k,11:k,12:l,12:h,12:s,13:k,13:k,14:k,15:k ###"
funk groove deep daft ->," None
None
None
None
None
0:h,0:k,0:k,1:s,1:k,2:k,3:h,3:k,4:s,4:s,4:k,5:k,6:k,7:k,7:a,8:a,9:k,10:k,10:k,11:k,12:s,12:s,12:h,12:a,13:k,13:k,14:k,15:k ###"
hiphop groove acoustic ->," None
0:k
None
None
0:k,10:k
4:s,7:k,9:k,12:s,13:k,15:k,18:k,18:s,20:s,21:k,24:k,28:k,30:k ###"
hiphop groove dark hybrid ->," None
0:a
None
None
0:k,10:k
4:s,7:k,9:k,12:s,13:k,15:k,18:k,18:s,20:s,21:k,24:k,28:k,30:k ###"
hiphop groove big room layered ->," None
0:k
None
None
0:k,4:s,10:k
7:k,9:k,12:s,13:k,15:k,18:k,18:s,21:k,24:k,28:k,30:k ###"
pop groove acoustic ->," None
None
None
4:s,4:k
0:k,0:k,2:z,7:s,10:h,14:k
2:k,4:h,6:h,8:k,8:k,10:z,18:h,21:s,22:k,24:l,24:s,26:k,29:s,30:k,31:s ###"
pop groove dark hybrid ->," None
0:a
None
4:s
0:k,2:z,7:s
4:a,8:k,10:z,21:s,24:s,26:k,29:s,30:k,31:s ###"
pop groove 808 simple ->," None
None
None
4:s,4:k
0:k,0:k,2:s,7:s,10:h,14:k
2:k,4:h,6:h,8:k,8:k,10:s,18:h,21:s,22:k,24:l,24:s,26:k,29:s,30:k,31:s ###"
pop groove deep daft ->," None
None
None
4:s,4:k
0:k,0:k,2:z,7:s,10:h,14:k
2:k,4:h,6:h,8:k,8:k,10:z,18:h,21:s,22:k,24:a,24:s,26:k,29:s,30:k,31:s ###"
rock groove acoustic ->," None
None
None
0:k,0:k,4:s
2:k,4:k,6:k,7:k,8:k
0:k,4:s,10:k,12:s,12:k,13:s,14:k,18:s,20:s,21:s,26:h,27:s,29:l,29:k,29:j ###"
rock groove dark hybrid ->," None
None
None
0:k,0:a,2:a,4:s
4:a,6:a,7:k,8:k
0:k,4:s,12:s,12:a,13:s,14:a,18:s,20:s,21:s,27:s,29:k,29:a ###"
rock groove big room layered ->," None
None
None
0:k,0:k,4:s
2:k,4:s,4:k,6:k,7:k,8:k
0:k,10:k,12:s,12:k,13:s,14:k,18:s,21:s,26:h,27:s,29:l,29:k,29:j ###"
rock groove deep daft ->," None
None
None
0:k,0:k,4:s
2:k,4:k,6:k,7:k,8:k
0:k,4:s,10:k,12:s,12:k,13:s,14:k,18:s,20:s,21:s,26:h,27:s,29:k,29:a ###"
soul groove acoustic ->," None
None
0:k
None
0:k,2:k,6:k,10:h,10:k,12:s,15:k
4:s,14:k,20:s,25:s,30:h ###"
soul groove dark hybrid ->," None
0:a
None
None
0:k,10:k,12:s,15:k
4:s,20:s,25:s ###"
soul groove big room layered ->," None
None
0:k
4:s
0:k,2:k,6:k,10:h,10:k,15:k
14:k,25:s,30:h ###"
latin brazilian-sambareggae acoustic ->," None
None
0:k,2:h
0:t,1:s,2:s
3:s,4:x,5:s,6:x,7:s,12:u,13:u,14:u,15:u
11:z,27:s ###"
latin brazilian-sambareggae dark hybrid ->," None
None
0:k,2:a
0:t,1:s,2:s
3:s,4:x,5:s,6:x,7:s,12:u,13:u,14:u,15:u
11:z,27:s ###"
latin brazilian-sambareggae 808 simple ->," None
None
0:k,2:h
0:t,1:s,2:s
3:s,4:x,5:s,6:x,7:s,12:u,13:u,14:u,15:u
11:s,27:s ###"
latin brazilian-maracatu acoustic ->," None
None
0:s,2:h
2:s,5:s,7:s
0:k,1:s,3:s,5:s,6:s,17:s
2:s,6:s,9:k,9:s,11:s,13:k,13:s,14:s,15:k,20:k,21:s,22:k,25:t,27:t,30:x ###"
latin brazilian-maracatu dark hybrid ->," None
None
0:s,2:a
2:s,5:s,7:s
0:k,1:s,3:s,5:s,6:s,17:s
2:s,6:s,9:k,9:s,11:s,13:k,13:s,14:s,15:k,20:k,21:s,22:k,25:t,27:t,30:x ###"
reggae acoustic ->," None
None
None
0:k
4:k
2:h,4:l,6:h,7:s,10:s,12:l,15:k,16:h,19:s,19:k,20:k,23:h,27:z ###"
reggae dark hybrid ->," None
None
None
None
0:k,0:a,4:a
2:a,3:s,6:s,8:a,11:a,12:a,15:a,15:s,19:a,23:z ###"
reggae 808 simple ->," None
None
None
0:k
4:k
2:h,4:l,6:h,7:s,10:s,12:l,15:k,16:h,19:s,19:k,20:k,23:h,27:s ###"
reggae deep daft ->," None
None
None
0:k
4:k
2:h,4:a,6:h,7:s,10:s,12:a,15:k,16:h,19:s,19:k,20:k,23:h,27:z ###"
funk groove acoustic ->," None
0:r
None
2:k,7:s
0:k,9:s,11:k,12:s
4:s,20:s ###"
funk groove big room layered ->," None
0:r
None
2:k,4:s,7:s
0:k,9:s,11:k
None ###"
soul groove acoustic ->," None
None
None
2:h,4:s,4:k,6:k
0:k,1:k,7:s,9:s,10:k
8:h,16:k,24:k ###"
soul groove dark hybrid ->," None
None
1:a
3:s,3:a
0:k,6:s,7:a,8:s,9:k
15:k,15:a ###"
funk groove acoustic ->," None
None
None
0:h,4:s,6:h
0:k,2:h,3:k,4:h,7:k,9:k,10:j,12:h
10:k,12:h,25:k,28:j ###"
funk groove dark hybrid ->," None
0:a
None
4:s
0:k,3:k,7:k,9:k,12:a
10:k,25:k ###"
funk groove deep daft ->," None
None
None
0:h,4:s,6:h
0:k,2:h,3:k,4:h,7:k,9:k,10:a,12:h
10:k,12:h,25:k,28:a ###"
soul groove acoustic ->," None
1:h
2:h
4:k
0:k,3:k,7:s,9:k,10:k,12:s,13:k,15:k
0:k,4:s,8:k,16:h,18:s,20:s,24:h,27:s ###"
soul groove dark hybrid ->," 0:a
None
None
None
0:k,3:k,7:s,9:k,10:k,12:s,13:k,15:k
4:s,18:s,20:s,27:s ###"
soul groove big room layered ->," None
1:h
2:h
4:s,4:k
0:k,3:k,7:s,9:k,10:k,13:k,15:k
0:k,8:k,16:h,18:s,24:h,27:s ###"
soul groove acoustic ->," None
None
None
None
0:k,1:h,4:s
2:k,6:h,7:h,8:h,8:k,10:h,12:s,14:h,15:h,18:h,22:j ###"
soul groove dark hybrid ->," None
None
None
None
0:k,1:a,2:a,4:s,6:a
7:a,8:k,8:a,10:a,12:s,14:a,15:a ###"
soul groove deep daft ->," None
None
None
None
0:k,1:h,4:s
2:k,6:h,7:h,8:h,8:k,10:h,12:s,14:h,15:h,18:h,22:a ###"
funk groove acoustic ->," None
None
None
None
None
0:h,0:k,1:h,2:h,3:h,3:k,4:h,4:s,5:h,6:h,7:h,7:s,8:h,9:h,10:h,10:k,10:s,11:h,12:h,12:s,13:h,13:k,14:h,15:h ###"
funk groove dark hybrid ->," None
None
None
None
None
0:k,0:a,1:a,2:a,3:k,3:a,4:a,4:s,5:a,6:a,7:s,7:a,8:a,9:a,10:s,10:k,10:a,11:a,12:a,12:s,13:k,13:a,14:a,15:a ###"
hiphop groove acoustic ->," None
None
None
None
0:k,4:k,5:h,6:k,7:h,7:k,8:k,9:h,9:k,10:k,10:k
4:s,11:h,12:s,12:k,13:h,13:k,14:k,15:h,15:k,16:k,17:h,18:k,19:h,19:k,20:s,28:k,30:k ###"
hiphop groove dark hybrid ->," None
None
None
None
0:k,4:a,5:a,6:a,7:k,7:a,8:a,9:k,9:a,10:k,10:a
4:s,11:a,12:a,12:s,13:k,13:a,14:a,15:k,15:a,16:a,17:a,18:a,19:k,19:a,20:s,28:k,30:k ###"
hiphop groove big room layered ->," None
None
None
None
0:k,4:s,4:k,5:h,6:k,7:h,7:k,8:k,9:h,9:k,10:k,10:k
11:h,12:s,12:k,13:h,13:k,14:k,15:h,15:k,16:k,17:h,18:k,19:h,19:k,28:k,30:k ###"
pop groove acoustic ->," None
None
None
6:h
0:k,8:h,10:h,12:h
0:k,4:h,4:s,8:k,12:k,12:s,16:h,18:h,20:s,20:k,26:k,28:s ###"
pop groove dark hybrid ->," None
None
0:a
6:a
0:k,10:a
4:s,8:k,12:k,12:s,18:a,20:s,26:k,28:s ###"
pop groove big room layered ->," None
None
None
4:s,6:h
0:k,8:h,10:h,12:h
0:k,4:h,8:k,12:k,16:h,18:h,20:k,26:k ###"
rock groove acoustic ->," None
None
None
None
0:k,2:h,4:k,5:k,6:h,6:k,10:s
2:s,4:s,8:k,10:h,12:k,14:h,14:k,18:s,24:h,25:s,27:l ###"
rock groove dark hybrid ->," None
None
None
None
0:k,1:k,1:a,3:a,5:s
5:a,7:a,9:k,9:a,11:a,13:a,13:s,15:a,20:s,22:a ###"
rock groove big room layered ->," None
None
None
2:s
0:k,2:h,4:k,5:k,6:h,6:k
4:s,8:k,10:h,12:k,14:h,14:k,24:h,25:s,27:l ###"
rock groove deep daft ->," None
None
None
None
0:k,2:h,4:k,5:k,6:h,6:k,10:s
2:s,4:s,8:k,10:h,12:k,14:h,14:k,18:s,24:h,25:s,27:a ###"
soul groove acoustic ->," None
None
2:h
0:k,4:h,4:s
0:k,10:k,15:k
None ###"
soul groove dark hybrid ->," None
0:a
None
4:s
0:k,10:k,15:k
None ###"
hiphop acoustic ->," None
None
None
None
2:h,2:k,3:h,4:k,15:k
0:k,0:y,5:h,6:h,6:k,7:h,8:k,8:k,9:h,10:h,11:k,12:s,12:k,13:s,14:h,15:k,16:k,17:h,17:k,21:k,22:k,23:s,24:s,24:s,25:h,25:s,26:s,27:s,28:s,29:t,30:u,31:h ###"
hiphop dark hybrid ->," None
None
None
None
2:k,2:a,3:a,4:a,5:a,6:a,9:a,15:k,15:a
0:k,0:y,6:k,7:a,8:k,8:a,10:a,11:k,12:a,12:s,13:s,14:a,16:a,17:k,17:a,23:s,24:s,24:s,25:s,26:s,27:s,28:s,29:t,30:u ###"
hiphop big room layered ->," None
None
None
None
2:h,2:k,3:h,4:k,12:s,15:k
0:k,0:y,5:h,6:h,6:k,7:h,8:k,8:k,9:h,10:h,11:k,12:k,13:s,14:h,15:k,16:k,17:h,17:k,21:k,22:k,23:s,24:s,25:h,25:s,26:s,27:s,29:t,30:u,31:h ###"
jazz fusion acoustic ->," None
1:h
None
None
0:h,0:k,10:h,14:h
4:h,6:h,8:h,12:h,18:h,20:k,24:k,28:k ###"
jazz fusion dark hybrid ->," None
1:a
0:a
None
0:k,10:a,14:a
6:a,18:a ###"
jazz fusion acoustic ->," None
None
None
None
0:h,2:k
0:h,0:k,3:k,4:s,5:s,7:s,8:t,8:s,9:s,11:z,12:t,13:u,14:k,14:k,15:k,15:y,17:k,19:h,20:h,21:k,22:h,23:h,24:k,25:h,26:k,27:s,28:s,29:k,30:h ###"
jazz fusion dark hybrid ->," None
None
None
None
0:a
0:k,1:k,1:y,2:a,3:a,4:a,5:a,6:a,7:a,8:a,9:a,10:a,11:a,12:a,13:s,14:s,15:a ###"
jazz fusion 808 simple ->," None
None
None
None
0:h,2:k,11:s
0:h,0:k,3:k,4:s,5:s,7:s,8:t,8:s,9:s,12:t,13:u,14:k,14:k,15:k,15:y,17:k,19:h,20:h,21:k,22:h,23:h,24:k,25:h,26:k,28:s,29:k,30:h ###"
rock acoustic ->," None
None
None
None
None
0:u,0:k,2:x,4:u,6:u,6:h,6:s ###"
rock dark hybrid ->," None
None
None
None
None
0:u,0:k,2:x,4:u,6:s,6:u,6:a ###"
rock acoustic ->," None
None
None
None
2:h,2:s,4:k,5:s,6:r,6:k,8:k,12:r
0:r,0:k,4:r,8:r,9:h,10:s,12:k,14:y,14:s,14:k,18:k,18:y,24:r,26:s,26:h,29:s ###"
rock dark hybrid ->," None
None
None
None
2:s,2:a,4:k,5:s,6:r,6:k,8:k,12:r
0:r,0:k,4:r,8:r,9:a,10:s,12:k,14:y,14:s,14:k,18:k,18:y,24:r,26:s,26:a,29:s ###"
rock big room layered ->," None
None
None
2:s
2:h,4:k,5:s,6:r,6:k,8:k,12:r
0:r,0:k,4:r,8:r,9:h,12:k,14:y,14:s,14:k,18:k,18:y,24:r,26:h,29:s ###"
hiphop acoustic ->," None
0:k
3:h
1:h
0:k,3:k,4:s,5:h,6:k,9:k
1:h,1:k,6:h,7:k,11:k,11:s,12:s,14:h,15:h,16:k,26:k,28:s,29:h,30:k ###"
hiphop dark hybrid ->," None
0:a
3:a
1:a
0:k,3:k,4:s,5:a,6:k,9:k,14:a
1:a,6:a,7:a,11:k,11:s,12:s,15:a,16:a,26:k,28:s,29:a ###"
hiphop big room layered ->," None
0:k
3:h
1:h,4:s
0:k,3:k,5:h,6:k,9:k
1:h,1:k,6:h,7:k,11:k,11:s,14:h,15:h,16:k,26:k,29:h,30:k ###"
rock acoustic ->," None
None
None
None
None
0:k,0:k,1:h,2:k,3:h,4:s,5:h,6:k,6:k,7:h,8:h,9:k,9:j,10:k,10:k,11:h,12:s,13:h,14:k,15:h ###"
rock dark hybrid ->," None
None
None
None
None
0:k,0:a,1:a,2:a,3:a,4:s,5:a,6:k,6:a,7:a,8:a,9:k,9:a,10:k,10:a,11:a,12:s,13:a,14:a,15:a ###"
rock deep daft ->," None
None
None
None
None
0:k,0:k,1:h,2:k,3:h,4:s,5:h,6:k,6:k,7:h,8:h,9:k,9:a,10:k,10:k,11:h,12:s,13:h,14:k,15:h ###"
rock acoustic ->," None
None
None
None
5:s,7:s
0:k,2:l,4:h,4:s,6:s,6:s,8:s,9:t,10:q,11:x,12:u,13:u,14:r,14:k,16:h,17:k,18:s,20:k,20:k,22:h,24:l,24:k,26:s,27:h,28:k,29:k ###"
rock jinglestacks 2nd hi-hat ->," None
None
None
None
5:s,7:s
0:k,2:l,4:h,4:s,6:s,6:s,8:s,9:t,10:h,11:x,12:u,13:u,14:r,14:k,16:h,17:k,18:s,20:k,20:k,22:h,24:l,24:k,26:s,27:h,28:k,29:k ###"
